periode_data;tanggal;pm10;so2;co;o3;no2;max;critical;categori;lokasi_spku
202003;08/03/20;30;24;40;58;5;58;4;O3;SEDANG
202003;09/03/20;52;22;38;59;7;59;4;O3;SEDANG
202003;10/03/20;32;21;39;43;4;43;4;O3;BAIK
202003;11/03/20;25;20;36;41;4;41;4;O3;BAIK
202003;12/03/20;34;20;46;63;4;63;4;O3;SEDANG
202003;13/03/20;44;19;58;72;10;72;4;O3;SEDANG
202003;14/03/20;32;19;51;69;6;69;4;O3;SEDANG
202003;15/03/20;66;22;59;179;8;179;4;O3;TIDAK SEHAT
202003;16/03/20;53;18;63;92;8;92;4;O3;SEDANG
202003;17/03/20;48;19;62;70;9;70;4;O3;SEDANG
202003;18/03/20;40;18;38;101;9;101;4;O3;TIDAK SEHAT
202003;19/03/20;45;18;35;90;6;90;4;O3;SEDANG
202003;20/03/20;69;---;33;99;7;99;4;O3;SEDANG
202003;21/03/20;51;---;11;83;8;83;4;O3;SEDANG
202003;22/03/20;42;---;15;84;6;84;4;O3;SEDANG
202003;23/03/20;27;---;5;71;7;71;4;O3;SEDANG
202003;24/03/20;52;---;14;105;7;105;4;O3;TIDAK SEHAT
202003;25/03/20;70;---;25;93;11;93;4;O3;SEDANG
202003;26/03/20;34;---;6;99;5;99;4;O3;SEDANG
202003;27/03/20;44;---;9;67;5;67;4;O3;SEDANG
202003;28/03/20;40;---;6;117;5;117;4;O3;TIDAK SEHAT
202003;29/03/20;58;11;12;124;6;124;4;O3;TIDAK SEHAT
202003;30/03/20;65;14;11;91;7;91;4;O3;SEDANG
202003;31/03/20;53;9;10;76;5;76;4;O3;SEDANG
202003;31/03/20;47;11;14;96;6;96;4;O3;SEDANG
202004;01/04/20;51;25;35;129;10;129;O3;TIDAK SEHAT;DKI5
202004;02/04/20;55;25;22;57;7;57;O3;SEDANG;DKI2
202004;03/04/20;55;27;22;62;6;62;O3;SEDANG;DKI2
202004;04/04/20;66;28;25;83;7;83;O3;SEDANG;DKI2
202004;05/04/20;66;28;19;103;8;103;O3;TIDAK SEHAT;DKI5
202004;06/04/20;56;26;29;73;9;73;O3;SEDANG;DKI5
202004;07/04/20;42;25;23;56;9;56;O3;SEDANG;DKI5
202004;08/04/20;33;26;13;69;7;69;O3;SEDANG;DKI5
202004;09/04/20;59;28;19;73;10;73;O3;SEDANG;DKI5
202004;10/04/20;65;27;26;132;12;132;O3;TIDAK SEHAT;DKI5
202004;11/04/20;109;27;18;135;6;135;O3;TIDAK SEHAT;DKI5
202004;12/04/20;82;27;31;136;13;136;O3;TIDAK SEHAT;DKI5
202004;13/04/20;52;26;17;86;9;86;O3;SEDANG;DKI5
202004;14/04/20;54;28;22;109;10;109;O3;TIDAK SEHAT;DKI5
202004;15/04/20;57;27;19;109;11;109;O3;TIDAK SEHAT;DKI5
202004;16/04/20;60;27;17;87;13;87;O3;SEDANG;DKI5
202004;17/04/20;60;27;19;92;11;92;O3;SEDANG;DKI3
202004;18/04/20;53;28;15;100;10;100;O3;SEDANG;DKI5
202004;19/04/20;73;29;20;147;14;147;O3;TIDAK SEHAT;DKI5
202004;20/04/20;78;28;20;116;9;116;O3;TIDAK SEHAT;DKI5
202004;21/04/20;69;28;17;59;10;69;PM10;SEDANG;DKI4
202004;22/04/20;111;31;26;75;11;111;PM10;TIDAK SEHAT;DKI4
202004;23/04/20;66;27;17;88;9;88;O3;SEDANG;DKI5
202004;24/04/20;71;27;22;70;8;71;PM10;SEDANG;DKI4
202004;25/04/20;64;26;29;77;9;77;O3;SEDANG;DKI5
202004;26/04/20;75;26;23;101;10;101;O3;TIDAK SEHAT;DKI5
202004;27/04/20;51;25;18;131;8;131;O3;TIDAK SEHAT;DKI5
202004;28/04/20;59;20;22;82;13;82;O3;SEDANG;DKI5
202004;29/04/20;67;25;19;85;11;85;O3;SEDANG;DKI5
202004;30/04/20;80;22;37;77;17;76;PM10;SEDANG;DKI4
202009;01/09/20;71;51;11;37;22;104;PM25;TIDAK SEHAT;DKI4
202009;02/09/20;72;51;12;38;28;97;PM25;SEDANG;DKI2
202009;03/09/20;80;49;13;39;26;99;PM25;SEDANG;DKI5
202009;04/09/20;66;50;15;35;17;98;PM25;SEDANG;DKI5
202009;05/09/20;70;49;15;46;22;110;PM25;TIDAK SEHAT;DKI4
202009;06/09/20;75;51;14;53;23;105;PM25;TIDAK SEHAT;DKI4
202009;07/09/20;72;51;16;60;22;131;PM25;TIDAK SEHAT;DKI4
202009;08/09/20;78;52;11;37;23;125;PM25;TIDAK SEHAT;DKI4
202009;09/09/20;82;52;11;34;19;105;PM25;TIDAK SEHAT;DKI4
202009;10/09/20;77;50;11;42;24;97;PM25;SEDANG;DKI5
202009;11/09/20;89;51;17;50;35;113;PM25;TIDAK SEHAT;DKI4
202009;12/09/20;67;50;13;50;25;103;PM25;TIDAK SEHAT;DKI5
202009;13/09/20;72;51;12;55;19;93;PM25;SEDANG;DKI2
202009;14/09/20;72;53;13;56;23;106;PM25;TIDAK SEHAT;DKI4
202009;15/09/20;57;52;17;45;23;91;PM25;SEDANG;DKI4
202009;16/09/20;67;50;15;41;30;89;PM25;SEDANG;DKI2
202006;01/06/20;61;23;22;69;10;69;O3;SEDANG;DKI5
202006;02/06/20;50;22;20;57;8;57;O3;SEDANG;DKI5
202006;03/06/20;47;21;14;48;11;48;O3;BAIK;DKI5
202006;04/06/20;56;31;18;41;11;56;PM10;SEDANG;DKI3
202006;05/06/20;62;24;17;96;12;96;O3;SEDANG;DKI5
202006;06/06/20;69;24;16;98;14;98;O3;SEDANG;DKI5
202006;07/06/20;66;26;19;96;15;96;O3;SEDANG;DKI3
202006;08/06/20;72;23;23;56;12;72;PM10;SEDANG;DKI4
202006;09/06/20;81;24;38;61;13;81;PM10;SEDANG;DKI4
202006;10/06/20;67;21;24;61;14;67;PM10;SEDANG;DKI1
202006;11/06/20;63;24;17;79;10;79;O3;SEDANG;DKI5
202006;12/06/20;55;22;14;97;13;97;O3;SEDANG;DKI5
202006;13/06/20;68;24;14;99;12;99;O3;SEDANG;DKI5
202006;14/06/20;64;30;17;97;12;97;O3;SEDANG;DKI5
202006;15/06/20;76;23;18;95;13;95;O3;SEDANG;DKI5
202006;16/06/20;74;24;24;59;11;74;PM10;SEDANG;DKI4
202006;17/06/20;74;23;20;73;12;74;PM10;SEDANG;DKI2
202006;18/06/20;67;24;20;79;9;79;O3;SEDANG;DKI5
202006;19/06/20;57;22;14;75;11;75;O3;SEDANG;DKI5
202006;20/06/20;73;23;20;92;17;92;O3;SEDANG;DKI5
202006;21/06/20;67;22;17;90;10;90;O3;SEDANG;DKI5
202006;22/06/20;71;25;19;69;11;71;PM10;SEDANG;DKI3
202006;23/06/20;58;22;21;70;15;70;O3;SEDANG;DKI2
202006;24/06/20;58;22;16;124;19;124;O3;TIDAK SEHAT;DKI2
202006;25/06/20;80;25;53;85;23;85;O3;SEDANG;DKI5
202006;26/06/20;78;24;23;97;19;97;O3;SEDANG;DKI5
202006;27/06/20;75;25;18;69;14;75;PM10;SEDANG;DKI2
202006;28/06/20;80;25;16;81;11;81;O3;SEDANG;DKI3
202006;29/06/20;78;24;15;90;15;90;O3;SEDANG;DKI5
202006;30/06/20;79;24;18;86;15;86;O3;SEDANG;DKI5
202007;01/07/20;74;29;15;94;14;94;O3;SEDANG;DKI5
202007;02/07/20;79;24;20;71;13;79;PM10;SEDANG;DKI2
202007;03/07/20;58;27;23;88;14;88;O3;SEDANG;DKI3
202007;04/07/20;70;23;16;71;14;71;O3;SEDANG;DKI3
202007;05/07/20;67;24;16;57;12;67;PM10;SEDANG;DKI4
202007;06/07/20;75;39;16;66;16;75;PM10;SEDANG;DKI2
202007;07/07/20;57;30;15;63;16;63;O3;SEDANG;DKI5
202007;08/07/20;69;28;15;90;15;90;O3;SEDANG;DKI5
202007;09/07/20;60;22;14;102;12;102;O3;TIDAK SEHAT;DKI2
202007;10/07/20;70;24;21;113;19;113;O3;TIDAK SEHAT;DKI3
202007;11/07/20;86;23;20;111;16;111;O3;TIDAK SEHAT;DKI3
202007;12/07/20;68;22;24;79;9;79;O3;SEDANG;DKI5
202007;13/07/20;68;25;20;71;13;71;O3;SEDANG;DKI3
202007;14/07/20;69;23;15;71;16;71;O3;SEDANG;DKI2
202007;15/07/20;63;22;14;51;12;63;PM10;SEDANG;DKI4
202007;16/07/20;55;27;13;52;11;55;PM10;SEDANG;DKI2
202007;17/07/20;66;31;17;68;14;68;O3;SEDANG;DKI5
202007;18/07/20;59;25;17;84;15;84;O3;SEDANG;DKI5
202007;19/07/20;71;25;21;90;10;90;O3;SEDANG;DKI5
202007;20/07/20;66;20;14;119;12;119;O3;TIDAK SEHAT;DKI5
202007;21/07/20;87;24;48;95;14;95;O3;SEDANG;DKI5
202007;22/07/20;63;23;20;75;15;75;O3;SEDANG;DKI5
202007;23/07/20;63;25;15;130;11;130;O3;TIDAK SEHAT;DKI5
202007;24/07/20;67;24;18;98;13;98;O3;SEDANG;DKI5
202002;01/02/20;57;30;39;73;14;73;O3;SEDANG;DKI5
202002;02/02/20;52;30;35;64;12;64;O3;SEDANG;DKI5
202002;03/02/20;59;30;50;46;15;59;PM10;SEDANG;DKI4
202002;04/02/20;43;30;53;51;14;53;CO;SEDANG;DKI3
202002;05/02/20;67;30;57;52;12;67;PM10;SEDANG;DKI3
202002;06/02/20;63;30;26;50;18;63;PM10;SEDANG;DKI2
202002;07/02/20;55;28;28;50;16;55;PM10;SEDANG;DKI5
202002;08/02/20;74;30;24;67;12;74;PM10;SEDANG;DKI4
202002;09/02/20;48;30;35;50;12;50;O3;BAIK;DKI5
202002;10/02/20;51;31;27;91;15;91;O3;SEDANG;DKI2
202002;11/02/20;75;32;26;98;16;98;O3;SEDANG;DKI4
202002;12/02/20;65;35;19;126;19;126;O3;TIDAK SEHAT;DKI3
202002;13/02/20;63;33;23;83;20;83;O3;SEDANG;DKI5
202002;14/02/20;81;33;36;60;18;81;PM10;SEDANG;DKI4
202002;15/02/20;74;26;51;191;17;191;O3;TIDAK SEHAT;DKI4
202002;16/02/20;70;23;35;118;16;118;O3;TIDAK SEHAT;DKI4
202002;17/02/20;43;21;30;170;12;170;O3;TIDAK SEHAT;DKI4
202002;18/02/20;62;30;55;182;15;182;O3;TIDAK SEHAT;DKI5
202002;19/02/20;54;22;28;62;11;62;O3;SEDANG;DKI5
202002;20/02/20;43;20;21;73;13;73;O3;SEDANG;DKI5
202002;21/02/20;35;20;25;80;14;80;O3;SEDANG;DKI4
202002;22/02/20;58;19;75;85;13;85;O3;SEDANG;DKI4
202002;23/02/20;39;15;37;88;9;88;O3;SEDANG;DKI5
202002;24/02/20;32;19;21;89;9;89;O3;SEDANG;DKI5
202002;25/02/20;40;19;25;92;13;92;O3;SEDANG;DKI4
202002;26/02/20;52;19;27;89;13;89;O3;SEDANG;DKI4
202002;27/02/20;54;18;40;84;13;84;O3;SEDANG;DKI4
202002;28/02/20;56;21;33;121;16;121;O3;TIDAK SEHAT;DKI5
202002;29/02/20;64;22;52;144;13;144;O3;TIDAK SEHAT;DKI5
202007;25/07/20;69;24;13;92;11;92;O3;SEDANG;DKI5
202007;26/07/20;62;26;11;79;10;79;O3;SEDANG;DKI3
202007;27/07/20;67;31;12;89;12;89;O3;SEDANG;DKI5
202007;28/07/20;71;24;21;160;14;160;O3;TIDAK SEHAT;DKI5
202007;29/07/20;67;24;17;164;14;164;O3;TIDAK SEHAT;DKI5
202007;30/07/20;76;24;14;136;14;136;O3;TIDAK SEHAT;DKI3
202007;31/07/20;68;25;13;115;14;115;O3;TIDAK SEHAT;DKI2
202008;01/08/20;69;22;16;134;14;134;O3;TIDAK SEHAT;DKI5
202008;02/08/20;91;27;26;102;16;102;O3;TIDAK SEHAT;DKI2
202008;03/08/20;95;26;19;90;16;95;PM10;SEDANG;DKI4
202008;04/08/20;73;27;12;91;12;91;O3;SEDANG;DKI5
202008;05/08/20;86;26;15;84;15;86;PM10;SEDANG;DKI4
202008;06/08/20;88;27;21;108;16;108;O3;TIDAK SEHAT;DKI5
202008;07/08/20;81;26;18;119;14;119;O3;TIDAK SEHAT;DKI5
202008;08/08/20;79;28;17;79;14;79;PM10;SEDANG;DKI4
202008;09/08/20;74;25;17;82;12;82;O3;SEDANG;DKI5
202008;10/08/20;81;25;19;76;12;81;PM10;SEDANG;DKI4
202008;11/08/20;96;26;19;78;12;96;PM10;SEDANG;DKI4
202008;12/08/20;93;25;37;68;18;93;PM10;SEDANG;DKI4
