,tanggal,pm_10,pm_2.5,so2,co,o3,no2,max,critical,category,lokasi_spku,year,month,day,day_of_week
208,2020-02-09,64,101,39,36,55,45,101,pm_2.5,TIDAK SEHAT,DKI4,2020,2,9,6
209,2022-04-28,42,83,41,12,59,20,83,pm_2.5,SEDANG,DKI4,2022,4,28,3
210,2022-04-27,47,91,44,13,45,26,91,pm_2.5,SEDANG,DKI4,2022,4,27,2
211,2022-04-26,59,82,41,13,70,29,82,pm_2.5,SEDANG,DKI4,2022,4,26,1
212,2022-04-25,60,118,44,14,99,28,118,pm_2.5,TIDAK SEHAT,DKI4,2022,4,25,0
213,2022-04-24,63,114,41,24,82,30,114,pm_2.5,TIDAK SEHAT,DKI4,2022,4,24,6
214,2022-04-23,60,108,42,30,52,43,108,pm_2.5,TIDAK SEHAT,DKI4,2022,4,23,5
215,2022-04-22,83,128,49,25,52,42,128,pm_2.5,TIDAK SEHAT,DKI4,2022,4,22,4
216,2022-04-21,46,56,41,15,43,24,56,pm_2.5,SEDANG,DKI5,2022,4,21,3
217,2022-04-20,61,105,42,18,69,34,105,pm_2.5,TIDAK SEHAT,DKI4,2022,4,20,2
218,2022-04-19,52,78,41,13,84,29,84,o3,SEDANG,DKI2,2022,4,19,1
219,2022-04-18,73,135,40,13,88,14,135,pm_2.5,TIDAK SEHAT,DKI4,2022,4,18,0
220,2020-02-08,58,109,39,18,60,31,109,pm_2.5,TIDAK SEHAT,DKI4,2020,2,8,5
221,2020-02-07,40,60,48,13,67,22,67,o3,SEDANG,DKI2,2020,2,7,4
222,2020-02-06,39,51,58,15,57,21,58,so2,SEDANG,DKI1,2020,2,6,3
223,2020-02-05,43,62,53,18,55,30,62,pm_2.5,SEDANG,DKI5,2020,2,5,2
224,2020-02-04,54,72,46,12,68,27,72,pm_2.5,SEDANG,DKI3,2020,2,4,1
225,2020-02-03,58,99,48,20,65,33,99,pm_2.5,SEDANG,DKI4,2020,2,3,0
226,2020-02-02,66,101,47,22,64,26,101,pm_2.5,TIDAK SEHAT,DKI4,2020,2,2,6
227,2022-03-01,27,50,44,11,17,12,50,pm_2.5,BAIK,DKI5,2022,3,1,1
228,2022-03-31,95,160,49,34,137,34,160,pm_2.5,TIDAK SEHAT,DKI4,2022,3,31,3
229,2022-03-30,75,119,42,20,109,35,119,pm_2.5,TIDAK SEHAT,DKI4,2022,3,30,2
230,2022-03-29,61,117,44,17,52,31,117,pm_2.5,TIDAK SEHAT,DKI4,2022,3,29,1
231,2022-03-28,49,62,40,12,59,28,62,pm_2.5,SEDANG,DKI5,2022,3,28,0
232,2022-03-27,84,126,46,49,42,51,126,pm_2.5,TIDAK SEHAT,DKI5,2022,3,27,6
233,2022-03-26,67,92,43,17,49,29,92,pm_2.5,SEDANG,DKI4,2022,3,26,5
234,2022-03-25,90,122,51,19,70,29,122,pm_2.5,TIDAK SEHAT,DKI5,2022,3,25,4
235,2022-03-24,43,65,43,15,40,22,65,pm_2.5,SEDANG,DKI4,2022,3,24,3
236,2022-03-23,46,61,41,16,34,19,61,pm_2.5,SEDANG,DKI5,2022,3,23,2
237,2022-03-22,50,63,38,12,35,17,63,pm_2.5,SEDANG,DKI3,2022,3,22,1
238,2022-03-21,38,53,38,10,34,8,53,pm_2.5,SEDANG,DKI4,2022,3,21,0
239,2022-03-20,55,71,39,13,34,14,71,pm_2.5,SEDANG,DKI4,2022,3,20,6
240,2022-03-19,46,73,40,15,48,20,73,pm_2.5,SEDANG,DKI4,2022,3,19,5
241,2022-03-18,67,111,40,23,69,32,111,pm_2.5,TIDAK SEHAT,DKI4,2022,3,18,4
242,2022-03-17,77,141,40,23,77,28,141,pm_2.5,TIDAK SEHAT,DKI4,2022,3,17,3
243,2022-03-16,51,76,41,21,53,25,76,pm_2.5,SEDANG,DKI4,2022,3,16,2
244,2022-03-15,56,97,41,22,54,28,97,pm_2.5,SEDANG,DKI4,2022,3,15,1
245,2022-03-14,60,109,39,25,80,31,109,pm_2.5,TIDAK SEHAT,DKI4,2022,3,14,0
246,2022-03-13,46,65,43,18,36,20,65,pm_2.5,SEDANG,DKI5,2022,3,13,6
247,2022-03-12,50,59,39,13,41,21,59,pm_2.5,SEDANG,DKI4,2022,3,12,5
248,2022-03-11,77,107,46,23,52,52,107,pm_2.5,TIDAK SEHAT,DKI4,2022,3,11,4
249,2022-03-10,60,112,42,24,79,40,112,pm_2.5,TIDAK SEHAT,DKI4,2022,3,10,3
250,2022-03-09,50,75,40,20,58,28,75,pm_2.5,SEDANG,DKI4,2022,3,9,2
251,2022-03-08,55,102,40,15,45,25,102,pm_2.5,TIDAK SEHAT,DKI4,2022,3,8,1
252,2022-03-07,29,53,37,13,37,13,53,pm_2.5,SEDANG,DKI4,2022,3,7,0
253,2022-03-06,53,90,38,21,28,18,90,pm_2.5,SEDANG,DKI4,2022,3,6,6
254,2022-03-05,48,68,40,17,36,22,68,pm_2.5,SEDANG,DKI4,2022,3,5,5
255,2022-03-04,32,53,41,13,45,20,53,pm_2.5,SEDANG,DKI4,2022,3,4,4
256,2022-03-03,30,55,43,12,35,18,55,pm_2.5,SEDANG,DKI4,2022,3,3,3
257,2022-03-02,32,51,46,15,24,15,51,pm_2.5,SEDANG,DKI2,2022,3,2,2
258,2022-04-01,74,114,47,19,76,38,114,pm_2.5,TIDAK SEHAT,DKI4,2022,4,1,4
259,2022-04-30,39,53,38,16,17,6,53,pm_2.5,SEDANG,DKI2,2022,4,30,5
260,2022-04-29,35,60,40,10,46,16,60,pm_2.5,SEDANG,DKI4,2022,4,29,4
261,2022-05-17,66,128,42,22,77,31,128,pm_2.5,TIDAK SEHAT,DKI4,2022,5,17,1
262,2022-05-16,58,100,42,22,81,31,100,pm_2.5,SEDANG,DKI4,2022,5,16,0
263,2022-05-15,77,126,42,19,87,23,126,pm_2.5,TIDAK SEHAT,DKI4,2022,5,15,6
264,2022-05-14,57,101,44,14,72,30,101,pm_2.5,TIDAK SEHAT,DKI4,2022,5,14,5
265,2022-05-13,34,55,44,8,65,20,65,o3,SEDANG,DKI2,2022,5,13,4
266,2022-05-12,61,85,54,13,63,25,85,pm_2.5,SEDANG,DKI3,2022,5,12,3
267,2022-05-11,54,75,41,12,81,26,81,o3,SEDANG,DKI2,2022,5,11,2
268,2022-05-10,54,86,50,17,74,28,86,pm_2.5,SEDANG,DKI4,2022,5,10,1
269,2022-05-09,58,95,44,12,73,24,95,pm_2.5,SEDANG,DKI4,2022,5,9,0
270,2022-05-08,63,98,42,19,76,21,98,pm_2.5,SEDANG,DKI4,2022,5,8,6
271,2022-05-07,56,92,41,12,82,13,92,pm_2.5,SEDANG,DKI4,2022,5,7,5
272,2022-05-06,39,73,42,10,58,12,73,pm_2.5,SEDANG,DKI4,2022,5,6,4
273,2022-05-05,53,102,41,13,72,20,102,pm_2.5,TIDAK SEHAT,DKI4,2022,5,5,3
274,2022-05-04,51,85,41,11,77,18,85,pm_2.5,SEDANG,DKI4,2022,5,4,2
275,2022-05-03,36,58,40,13,58,23,58,pm_2.5,SEDANG,DKI2,2022,5,3,1
276,2022-05-02,58,90,41,16,82,17,90,pm_2.5,SEDANG,DKI4,2022,5,2,0
277,2022-06-01,53,77,43,18,55,27,77,pm_2.5,SEDANG,DKI5,2022,6,1,2
278,2022-06-30,68,117,48,13,84,26,117,pm_2.5,TIDAK SEHAT,DKI4,2022,6,30,3
279,2022-06-29,59,79,46,14,72,32,79,pm_2.5,SEDANG,DKI4,2022,6,29,2
280,2022-06-28,57,82,46,16,82,29,82,pm_2.5,SEDANG,DKI2,2022,6,28,1
281,2022-06-27,74,102,45,22,76,33,102,pm_2.5,TIDAK SEHAT,DKI4,2022,6,27,0
282,2022-04-17,76,148,52,21,93,24,148,pm_2.5,TIDAK SEHAT,DKI4,2022,4,17,6
283,2022-04-16,63,119,46,16,91,21,119,pm_2.5,TIDAK SEHAT,DKI4,2022,4,16,5
284,2022-04-15,61,102,41,15,81,28,102,pm_2.5,TIDAK SEHAT,DKI4,2022,4,15,4
285,2022-04-14,66,104,44,14,111,25,111,o3,TIDAK SEHAT,DKI2,2022,4,14,3
286,2022-04-13,78,116,42,21,118,40,118,o3,TIDAK SEHAT,DKI2,2022,4,13,2
287,2022-04-12,71,107,52,22,78,43,107,pm_2.5,TIDAK SEHAT,DKI4,2022,4,12,1
288,2022-04-11,63,98,44,17,95,31,98,pm_2.5,SEDANG,DKI4,2022,4,11,0
289,2022-04-10,82,164,46,27,80,38,164,pm_2.5,TIDAK SEHAT,DKI4,2022,4,10,6
290,2022-04-09,50,76,42,21,59,28,76,pm_2.5,SEDANG,DKI4,2022,4,9,5
291,2022-04-08,52,81,40,17,50,29,81,pm_2.5,SEDANG,DKI4,2022,4,8,4
292,2022-04-07,58,90,42,22,62,35,90,pm_2.5,SEDANG,DKI4,2022,4,7,3
293,2022-04-06,54,87,40,20,57,32,87,pm_2.5,SEDANG,DKI4,2022,4,6,2
294,2022-04-05,73,92,53,19,73,43,92,pm_2.5,SEDANG,DKI4,2022,4,5,1
295,2022-04-04,49,71,43,23,69,27,71,pm_2.5,SEDANG,DKI4,2022,4,4,0
296,2022-04-03,51,74,39,14,40,17,74,pm_2.5,SEDANG,DKI4,2022,4,3,6
297,2022-04-02,61,99,42,18,70,28,99,pm_2.5,SEDANG,DKI4,2022,4,2,5
298,2022-05-01,66,126,48,24,61,26,126,pm_2.5,TIDAK SEHAT,DKI4,2022,5,1,6
299,2022-05-30,51,89,45,17,58,31,89,pm_2.5,SEDANG,DKI4,2022,5,30,0
300,2022-05-29,64,107,43,23,65,40,107,pm_2.5,TIDAK SEHAT,DKI4,2022,5,29,6
301,2022-05-28,57,105,43,17,82,33,105,pm_2.5,TIDAK SEHAT,DKI3,2022,5,28,5
302,2022-05-27,79,146,52,25,76,35,146,pm_2.5,TIDAK SEHAT,DKI4,2022,5,27,4
303,2022-05-26,57,93,45,15,52,26,93,pm_2.5,SEDANG,DKI4,2022,5,26,3
