periode_data;tanggal;pm_10;pm_duakomalima;so2;co;o3;no2;max;critical;categori;lokasi_spku
202202;19/02/20;67;108;44;23;69;37;108;PM2,5;TIDAK SEHAT;DKI4
202202;18/02/20;65;118;47;18;67;30;118;PM2,5;TIDAK SEHAT;DKI4
202202;17/02/20;53;74;45;19;86;29;86;O3;SEDANG;DKI2
202202;16/02/20;66;110;48;24;62;33;110;PM2,5;TIDAK SEHAT;DKI5
202202;15/02/20;74;119;52;33;61;38;119;PM2,5;TIDAK SEHAT;DKI3
202202;14/02/20;66;109;51;29;49;39;109;PM2,5;TIDAK SEHAT;DKI4
202202;13/02/20;70;98;41;19;55;29;98;PM2,5;SEDANG;DKI3
202202;12/02/20;52;68;42;14;55;29;68;PM2,5;SEDANG;DKI5
202202;11/02/20;62;95;48;20;48;33;95;PM2,5;SEDANG;DKI5
202202;10/02/20;24;47;41;12;49;23;49;O3;BAIK;DKI2
202201;01/01/22;57;85;48;13;34;18;85;PM2,5;SEDANG;DKI4
202201;31/01/22;72;119;58;44;53;44;119;PM2,5;TIDAK SEHAT;DKI4
202201;30/01/22;75;129;53;25;59;50;129;PM2,5;TIDAK SEHAT;DKI4
202201;29/01/22;65;120;52;30;52;46;120;PM2,5;TIDAK SEHAT;DKI4
202201;28/01/22;63;84;52;12;60;28;84;PM2,5;SEDANG;DKI3
202201;27/01/22;58;75;47;14;48;25;75;PM2,5;SEDANG;DKI3
202201;26/01/22;38;56;45;14;57;24;57;O3;SEDANG;DKI2
202201;25/01/22;41;58;46;9;51;19;58;PM2,5;SEDANG;DKI3
202201;24/01/22;57;74;48;11;58;18;74;PM2,5;SEDANG;DKI3
202201;23/01/22;57;73;50;11;35;15;73;PM2,5;SEDANG;DKI3
202201;22/01/22;52;73;51;12;39;20;73;PM2,5;SEDANG;DKI4
202201;21/01/22;40;57;51;15;51;23;57;PM2,5;SEDANG;DKI3
202201;20/01/22;40;57;55;14;68;24;68;O3;SEDANG;DKI2
202201;19/01/22;45;61;45;15;69;22;69;O3;SEDANG;DKI2
202201;18/01/22;54;67;47;14;59;33;67;PM2,5;SEDANG;DKI4
202201;17/01/22;67;93;44;19;63;28;93;PM2,5;SEDANG;DKI4
202201;16/01/22;67;102;47;20;65;32;102;PM2,5;TIDAK SEHAT;DKI5
202201;15/01/22;55;69;51;15;68;29;69;PM2,5;SEDANG;DKI3
202201;14/01/22;46;63;48;15;63;32;63;PM2,5;SEDANG;DKI2
202201;13/01/22;38;62;52;15;63;32;63;O3;SEDANG;DKI2
